scope,train_dataset,test_dataset,embedding,clf,subsample_id,matched_gene_count,gene_hash,auroc,auprc
coverage_matched_native,hESC500,mESC500,difference_v3,mlp,19,848/937,893fb32c2958-9b4c6299ecad,0.551013179009672,0.3809440110116677
coverage_matched_native,hESC500,mESC500,baseline,lr,0,848/937,893fb32c2958-9b4c6299ecad,0.5596288768536404,0.3818621901601395
coverage_matched_native,hESC500,mESC500,baseline,mlp,0,848/937,893fb32c2958-9b4c6299ecad,0.5212835278404239,0.36625823287907416
coverage_matched_native,hESC500,mESC500,baseline,lr,1,848/937,893fb32c2958-9b4c6299ecad,0.560371186612251,0.3878212799273527
coverage_matched_native,hESC500,mESC500,baseline,mlp,1,848/937,893fb32c2958-9b4c6299ecad,0.5256435076455773,0.374601240552193
coverage_matched_native,hESC500,mESC500,baseline,lr,2,848/937,893fb32c2958-9b4c6299ecad,0.5693078314688641,0.3914797101528423
coverage_matched_native,hESC500,mESC500,baseline,mlp,2,848/937,893fb32c2958-9b4c6299ecad,0.5670635442717431,0.42053899918707244
coverage_matched_native,hESC500,mESC500,baseline,lr,3,848/937,893fb32c2958-9b4c6299ecad,0.5695952557976884,0.39841396538791224
coverage_matched_native,hESC500,mESC500,baseline,mlp,3,848/937,893fb32c2958-9b4c6299ecad,0.5363444471629002,0.39820536324136907
coverage_matched_native,hESC500,mESC500,baseline,lr,4,848/937,893fb32c2958-9b4c6299ecad,0.5580188233487208,0.3812173104758262
coverage_matched_native,hESC500,mESC500,baseline,mlp,4,848/937,893fb32c2958-9b4c6299ecad,0.5309604896266588,0.37027629369698845
coverage_matched_native,hESC500,mESC500,baseline,lr,5,848/937,893fb32c2958-9b4c6299ecad,0.5768416262626936,0.3983849836619352
coverage_matched_native,hESC500,mESC500,baseline,mlp,5,848/937,893fb32c2958-9b4c6299ecad,0.5571020395081521,0.39049937902438053
coverage_matched_native,hESC500,mESC500,baseline,lr,6,848/937,893fb32c2958-9b4c6299ecad,0.5623257202823344,0.3893487355242065
coverage_matched_native,hESC500,mESC500,baseline,mlp,6,848/937,893fb32c2958-9b4c6299ecad,0.5503697554564007,0.40839058737371625
coverage_matched_native,hESC500,mESC500,baseline,lr,7,848/937,893fb32c2958-9b4c6299ecad,0.5661783156723623,0.3873286575944094
coverage_matched_native,hESC500,mESC500,baseline,mlp,7,848/937,893fb32c2958-9b4c6299ecad,0.5460243156869595,0.38138637450464913
coverage_matched_native,hESC500,mESC500,baseline,lr,8,848/937,893fb32c2958-9b4c6299ecad,0.5659379195690413,0.393572563904271
coverage_matched_native,hESC500,mESC500,baseline,mlp,8,848/937,893fb32c2958-9b4c6299ecad,0.5369470811877894,0.3874251379459477
coverage_matched_native,hESC500,mESC500,baseline,lr,9,848/937,893fb32c2958-9b4c6299ecad,0.5759293294606446,0.40079042236307594
coverage_matched_native,hESC500,mESC500,baseline,mlp,9,848/937,893fb32c2958-9b4c6299ecad,0.5620772703573987,0.4087441134478632
coverage_matched_native,hESC500,mESC500,baseline,lr,10,848/937,893fb32c2958-9b4c6299ecad,0.5607884621548129,0.3886513250330981
coverage_matched_native,hESC500,mESC500,baseline,mlp,10,848/937,893fb32c2958-9b4c6299ecad,0.545598891123946,0.39485602034373324
coverage_matched_native,hESC500,mESC500,baseline,lr,11,848/937,893fb32c2958-9b4c6299ecad,0.5605960970380787,0.3851266921854523
coverage_matched_native,hESC500,mESC500,baseline,mlp,11,848/937,893fb32c2958-9b4c6299ecad,0.5599754450466299,0.4119137500109736
coverage_matched_native,hESC500,mESC500,baseline,lr,12,848/937,893fb32c2958-9b4c6299ecad,0.568117680994409,0.3888956432705882
coverage_matched_native,hESC500,mESC500,baseline,mlp,12,848/937,893fb32c2958-9b4c6299ecad,0.5510907343289229,0.39738289760796647
coverage_matched_native,hESC500,mESC500,baseline,lr,13,848/937,893fb32c2958-9b4c6299ecad,0.5692426393052517,0.38968158101220574
coverage_matched_native,hESC500,mESC500,baseline,mlp,13,848/937,893fb32c2958-9b4c6299ecad,0.5544161122127732,0.4002235941039542
coverage_matched_native,hESC500,mESC500,baseline,lr,14,848/937,893fb32c2958-9b4c6299ecad,0.5613622572786651,0.382087797204145
coverage_matched_native,hESC500,mESC500,baseline,mlp,14,848/937,893fb32c2958-9b4c6299ecad,0.5379707860155447,0.3875224526952942
coverage_matched_native,hESC500,mESC500,baseline,lr,15,848/937,893fb32c2958-9b4c6299ecad,0.563714925178474,0.3881372044624117
