train_dataset,test_dataset,protocol,embedding,clf,seed,n_common_genes,n_train_edges,n_test_edges,auroc,auprc
hESC,hHep,coverage_matched,minus,mlp,4,8314,1745,583,0.681523,0.710906
hESC,hHep,coverage_matched,baseline,lr,0,8314,1965,686,0.635151,0.675024
hESC,hHep,coverage_matched,baseline,lr,1,8314,1965,686,0.660403,0.701802
hESC,hHep,coverage_matched,baseline,lr,2,8314,1965,686,0.682135,0.715460
hESC,hHep,coverage_matched,baseline,lr,3,8314,1965,686,0.656373,0.689925
hESC,hHep,coverage_matched,baseline,lr,4,8314,1965,686,0.631605,0.670062
hESC,hHep,coverage_matched,baseline,mlp,0,8314,1965,686,0.655327,0.686115
hESC,hHep,coverage_matched,baseline,mlp,1,8314,1965,686,0.676022,0.701963
hESC,hHep,coverage_matched,baseline,mlp,2,8314,1965,686,0.668208,0.678620
hESC,hHep,coverage_matched,baseline,mlp,3,8314,1965,686,0.655200,0.672350
hESC,hHep,coverage_matched,baseline,mlp,4,8314,1965,686,0.660072,0.668273
hESC,hHep,coverage_matched,scGPT_human,lr,0,8314,2075,661,0.652969,0.654603
hESC,hHep,coverage_matched,scGPT_human,lr,1,8314,2075,661,0.643467,0.647204
hESC,hHep,coverage_matched,scGPT_human,lr,2,8314,2075,661,0.641915,0.640447
hESC,hHep,coverage_matched,scGPT_human,lr,3,8314,2075,661,0.629439,0.624860
hESC,hHep,coverage_matched,scGPT_human,lr,4,8314,2075,661,0.630127,0.621167
hESC,hHep,coverage_matched,scGPT_human,mlp,0,8314,2075,661,0.634176,0.629041
hESC,hHep,coverage_matched,scGPT_human,mlp,1,8314,2075,661,0.636967,0.621877
hESC,hHep,coverage_matched,scGPT_human,mlp,2,8314,2075,661,0.605468,0.597003
hESC,hHep,coverage_matched,scGPT_human,mlp,3,8314,2075,661,0.615200,0.616117
hESC,hHep,coverage_matched,scGPT_human,mlp,4,8314,2075,661,0.645110,0.653893
hESC,mDC,native,minus,lr,0,5852,4009,816,0.282339,0.443691
hESC,mDC,native,minus,lr,1,5852,4009,816,0.286644,0.443397
hESC,mDC,native,minus,lr,2,5852,4009,816,0.319499,0.459928
hESC,mDC,native,minus,lr,3,5852,4009,816,0.251242,0.434715
hESC,mDC,native,minus,lr,4,5852,4009,816,0.308388,0.454959
hESC,mDC,native,minus,mlp,0,5852,4009,816,0.267962,0.437232
hESC,mDC,native,minus,mlp,1,5852,4009,816,0.296999,0.450389
hESC,mDC,native,minus,mlp,2,5852,4009,816,0.297596,0.449711
hESC,mDC,native,minus,mlp,3,5852,4009,816,0.309605,0.454112
hESC,mDC,native,minus,mlp,4,5852,4009,816,0.281159,0.442417
hESC,mDC,native,baseline,lr,0,5852,4009,816,0.578078,0.622760
hESC,mDC,native,baseline,lr,1,5852,4009,816,0.611395,0.672387
hESC,mDC,native,baseline,lr,2,5852,4009,816,0.582573,0.652297
hESC,mDC,native,baseline,lr,3,5852,4009,816,0.557527,0.602435
hESC,mDC,native,baseline,lr,4,5852,4009,816,0.592547,0.652778
hESC,mDC,native,baseline,mlp,0,5852,4009,816,0.519008,0.587345
hESC,mDC,native,baseline,mlp,1,5852,4009,816,0.531703,0.591742
hESC,mDC,native,baseline,mlp,2,5852,4009,816,0.468798,0.540285
hESC,mDC,native,baseline,mlp,3,5852,4009,816,0.565964,0.627467
hESC,mDC,native,baseline,mlp,4,5852,4009,816,0.554753,0.605787
hESC,mDC,native,scGPT_human,lr,0,5852,4009,816,0.579923,0.677676
hESC,mDC,native,scGPT_human,lr,1,5852,4009,816,0.430544,0.537913
hESC,mDC,native,scGPT_human,lr,2,5852,4009,816,0.538667,0.641341
hESC,mDC,native,scGPT_human,lr,3,5852,4009,816,0.480476,0.592841
hESC,mDC,native,scGPT_human,lr,4,5852,4009,816,0.498592,0.591564
hESC,mDC,native,scGPT_human,mlp,0,5852,4009,816,0.575378,0.629072
hESC,mDC,native,scGPT_human,mlp,1,5852,4009,816,0.594792,0.655919
hESC,mDC,native,scGPT_human,mlp,2,5852,4009,816,0.591225,0.668851
hESC,mDC,native,scGPT_human,mlp,3,5852,4009,816,0.586004,0.647456
hESC,mDC,native,scGPT_human,mlp,4,5852,4009,816,0.561739,0.623678
hESC,mDC,strict,minus,lr,0,4539,390,620,0.412267,0.551440
hESC,mDC,strict,minus,lr,1,4539,390,620,0.487434,0.586443
hESC,mDC,strict,minus,lr,2,4539,390,620,0.393556,0.541943
hESC,mDC,strict,minus,lr,3,4539,390,620,0.517573,0.603252
hESC,mDC,strict,minus,lr,4,4539,390,620,0.511608,0.603279
hESC,mDC,strict,minus,mlp,0,4539,390,620,0.408185,0.530408
hESC,mDC,strict,minus,mlp,1,4539,390,620,0.368555,0.520422
hESC,mDC,strict,minus,mlp,2,4539,390,620,0.430607,0.543784
