train_dataset,test_dataset,side,compare_protocol,metric,delta_abs,delta_pct
hESC,mDC,test,strict,hub_fraction,0.0,0.0
hESC,mDC,test,coverage_matched,n_genes,-2552.0,-34.62216795550129
hESC,mDC,test,coverage_matched,mean_degree,0.1820440440486093,10.277624453755354
hESC,mDC,test,coverage_matched,mean_train_node_freq,0.14157434694198878,9.993722575267183
hESC,mDC,test,coverage_matched,mean_test_node_freq,0.04046969710662035,11.411711452674007
hESC,mDC,test,coverage_matched,tf_proxy_fraction,0.002238150332499092,6.817109959029259
hESC,mDC,test,coverage_matched,pos_edge_ratio,0.0030326725526091513,20.591338054070466
hESC,mDC,test,coverage_matched,hub_fraction,0.0,0.0
hESC,mDC,test,topology_matched,n_genes,-2552.0,-34.62216795550129
hESC,mDC,test,topology_matched,mean_degree,0.1820440440486093,10.277624453755354
hESC,mDC,test,topology_matched,mean_train_node_freq,0.14157434694198878,9.993722575267183
hESC,mDC,test,topology_matched,mean_test_node_freq,0.04046969710662035,11.411711452674007
hESC,mDC,test,topology_matched,tf_proxy_fraction,0.002238150332499092,6.817109959029259
hESC,mDC,test,topology_matched,pos_edge_ratio,0.0030326725526091513,20.591338054070466
hESC,mDC,test,topology_matched,hub_fraction,0.0,0.0
hESC,mESC,train,strict,n_genes,-5714.0,-40.884373211219234
hESC,mESC,train,strict,mean_degree,0.0003466190337427788,0.03710437818312712
hESC,mESC,train,strict,mean_train_node_freq,0.0029225672616209897,0.3911683590156575
hESC,mESC,train,strict,mean_test_node_freq,-0.0025759482278781276,-1.3772552575678927
hESC,mESC,train,strict,tf_proxy_fraction,0.0012579575845828757,7.089199678278335
hESC,mESC,train,strict,pos_edge_ratio,-0.0013006064883785287,-19.80108309230445
hESC,mESC,train,strict,hub_fraction,0.0,0.0
hESC,mESC,train,coverage_matched,n_genes,-5714.0,-40.884373211219234
hESC,mESC,train,coverage_matched,mean_degree,0.0003466190337427788,0.03710437818312712
hESC,mESC,train,coverage_matched,mean_train_node_freq,0.0029225672616209897,0.3911683590156575
hESC,mESC,train,coverage_matched,mean_test_node_freq,-0.0025759482278781276,-1.3772552575678927
hESC,mESC,train,coverage_matched,tf_proxy_fraction,0.0012579575845828757,7.089199678278335
hESC,mESC,train,coverage_matched,pos_edge_ratio,-0.0013006064883785287,-19.80108309230445
hESC,mESC,train,coverage_matched,hub_fraction,0.0,0.0
hESC,mESC,train,topology_matched,n_genes,-5714.0,-40.884373211219234
hESC,mESC,train,topology_matched,mean_degree,0.0003466190337427788,0.03710437818312712
hESC,mESC,train,topology_matched,mean_train_node_freq,0.0029225672616209897,0.3911683590156575
hESC,mESC,train,topology_matched,mean_test_node_freq,-0.0025759482278781276,-1.3772552575678927
hESC,mESC,train,topology_matched,tf_proxy_fraction,0.0012579575845828757,7.089199678278335
hESC,mESC,train,topology_matched,pos_edge_ratio,-0.0013006064883785287,-19.80108309230445
hESC,mESC,train,topology_matched,hub_fraction,0.0,0.0
hESC,mESC,test,strict,n_genes,-8487.0,-50.67168189145621
hESC,mESC,test,strict,mean_degree,0.048619557945839054,6.237201103208167
hESC,mESC,test,strict,mean_train_node_freq,0.03511704467512189,5.632784727673018
hESC,mESC,test,strict,mean_test_node_freq,0.013502513270717165,8.651629486275509
hESC,mESC,test,strict,tf_proxy_fraction,0.0005647265905121511,3.813953896970975
hESC,mESC,test,strict,pos_edge_ratio,0.003034371145632232,49.46363928494886
hESC,mESC,test,strict,hub_fraction,0.0,0.0
hESC,mESC,test,coverage_matched,n_genes,-8487.0,-50.67168189145621
hESC,mESC,test,coverage_matched,mean_degree,0.048619557945839054,6.237201103208167
hESC,mESC,test,coverage_matched,mean_train_node_freq,0.03511704467512189,5.632784727673018
hESC,mESC,test,coverage_matched,mean_test_node_freq,0.013502513270717165,8.651629486275509
hESC,mESC,test,coverage_matched,tf_proxy_fraction,0.0005647265905121511,3.813953896970975
hESC,mESC,test,coverage_matched,pos_edge_ratio,0.003034371145632232,49.46363928494886
hESC,mESC,test,coverage_matched,hub_fraction,0.0,0.0
hESC,mESC,test,topology_matched,n_genes,-8487.0,-50.67168189145621
hESC,mESC,test,topology_matched,mean_degree,0.048619557945839054,6.237201103208167
hESC,mESC,test,topology_matched,mean_train_node_freq,0.03511704467512189,5.632784727673018
hESC,mESC,test,topology_matched,mean_test_node_freq,0.013502513270717165,8.651629486275509
hESC,mESC,test,topology_matched,tf_proxy_fraction,0.0005647265905121511,3.813953896970975
hESC,mESC,test,topology_matched,pos_edge_ratio,0.003034371145632232,49.46363928494886
hESC,mESC,test,topology_matched,hub_fraction,0.0,0.0
hESC,mHSC-E,train,strict,n_genes,-11131.0,-79.64367487120778
hESC,mHSC-E,train,strict,mean_degree,0.351240137499082,37.5990514835108
hESC,mHSC-E,train,strict,mean_train_node_freq,0.2785211001938549,37.27840352719131
