train_dataset,test_dataset,protocol,embedding,clf,mean_auroc,std_auroc,mean_auprc,std_auprc,n
hESC,mDC,native,baseline,mlp,0.5280452,0.03393058551454721,0.5905252,0.02875166463633018,5
hESC,mDC,native,minus,lr,0.2896224,0.02357851928005657,0.447338,0.008997332493578303,5
hESC,mDC,native,minus,mlp,0.2906642,0.014509804676838364,0.4467722,0.006092185729276481,5
hESC,mDC,native,scGPT_human,lr,0.5056404,0.05085480750764867,0.608267,0.047703533952947345,5
hESC,mDC,native,scGPT_human,mlp,0.5818276,0.011991482820735729,0.6449952,0.016747868227329724,5
hESC,mDC,native,v4_bias_rec_best,lr,0.400823,0.05535175644548238,0.5136582,0.0382795597174262,5
hESC,mDC,native,v4_bias_rec_best,mlp,0.3272364,0.05491655409655635,0.4670302,0.026181600236807538,5
hESC,mDC,native,v4_plain_best,lr,0.4217536,0.031515042856388446,0.500368,0.016617138526232488,5
hESC,mDC,native,v4_plain_best,mlp,0.4036758,0.029053231705956573,0.4906448,0.016426752976775413,5
hESC,mDC,native,v4_type_pe_best,lr,0.5266608,0.05938263958565666,0.6006554,0.05092995204238859,5
hESC,mDC,native,v4_type_pe_best,mlp,0.5030582,0.034294619941909264,0.5669462,0.02684203824898548,5
hESC,mDC,strict,baseline,lr,0.6411948,0.03409188435625111,0.7168572,0.03158071548524511,5
hESC,mDC,strict,baseline,mlp,0.5206814,0.043915792852230275,0.6040352,0.0271513124868762,5
hESC,mDC,strict,minus,lr,0.4644876,0.05162017436080585,0.5772714,0.025887688785212182,5
hESC,mDC,strict,minus,mlp,0.40448860000000003,0.02811639257515089,0.538424,0.017477785900965836,5
hESC,mDC,strict,scGPT_human,lr,0.7127596,0.03283285249015077,0.756948,0.027742574098306022,5
hESC,mDC,strict,scGPT_human,mlp,0.594806,0.06772343299331479,0.6807092,0.05058060138590684,5
hESC,mDC,strict,v4_bias_rec_best,lr,0.5362374,0.07471009443067247,0.6263422,0.046567512458365226,5
hESC,mDC,strict,v4_bias_rec_best,mlp,0.3443046,0.07718203107096884,0.514973,0.04068556867489994,5
hESC,mDC,strict,v4_plain_best,lr,0.6281947999999999,0.03569092834544933,0.6814136,0.03271889205703641,5
hESC,mDC,strict,v4_plain_best,mlp,0.4780214,0.036741892349741595,0.5763062,0.02200193259147931,5
hESC,mDC,strict,v4_type_pe_best,lr,0.6458773999999999,0.04945335501095957,0.6847662,0.03988713881140138,5
hESC,mDC,strict,v4_type_pe_best,mlp,0.4762992,0.058895867065185466,0.5687638,0.029822177072775898,5
hESC,mHSC-E,coverage_matched,baseline,lr,0.4761934,0.061554546144375076,0.4131806,0.03874619989934496,5
hESC,mHSC-E,coverage_matched,baseline,mlp,0.4961938,0.09043070356997117,0.458453,0.08681215775454494,5
hESC,mHSC-E,coverage_matched,minus,lr,0.425171,0.032716468635841496,0.4221786,0.015827651178870465,5
hESC,mHSC-E,coverage_matched,minus,mlp,0.4404204,0.028245211138173493,0.431481,0.020612349337229857,5
hESC,mHSC-E,coverage_matched,scGPT_human,lr,0.5442656,0.022018529002637767,0.43632499999999996,0.01683486042710186,5
hESC,mHSC-E,coverage_matched,scGPT_human,mlp,0.5448573999999999,0.03471334582894595,0.43635860000000004,0.02848272039395114,5
hESC,mHSC-E,coverage_matched,v4_bias_rec_best,lr,0.577773,0.013646051678049598,0.6551402,0.011197450520542614,5
hESC,mHSC-E,coverage_matched,v4_bias_rec_best,mlp,0.6090776,0.00941521000509283,0.6733008,0.012405033484839916,5
hESC,mHSC-E,coverage_matched,v4_plain_best,lr,0.4896042,0.026492358991981067,0.4638684,0.015245209537425187,5
hESC,mHSC-E,coverage_matched,v4_plain_best,mlp,0.4785104,0.04090248069054005,0.4622158,0.029777063692714895,5
hESC,mHSC-E,coverage_matched,v4_type_pe_best,lr,0.5818224,0.05461828687024154,0.5468834,0.05925235039928794,5
hESC,mHSC-E,coverage_matched,v4_type_pe_best,mlp,0.6203754,0.05750878896516603,0.5662216,0.07044620285182164,5
hESC,mHSC-E,native,baseline,lr,0.5359118,0.01589692817370702,0.5394388,0.012183899924080099,5
hESC,mHSC-E,native,baseline,mlp,0.5624764,0.011113461919671996,0.558144,0.00822745105120656,5
hESC,mHSC-E,native,minus,lr,0.566363,0.029003525627068174,0.5769362,0.021858607607988214,5
hESC,mHSC-E,native,minus,mlp,0.5867146,0.007500196893415529,0.5993642,0.007916286841695425,5
hESC,mHSC-E,native,scGPT_human,lr,0.6152029999999999,0.006515873540823206,0.6245958,0.0072938684221748856,5
hESC,mHSC-E,native,scGPT_human,mlp,0.5949592,0.021704337395092237,0.6016366000000001,0.022252288705659012,5
hESC,mHSC-E,native,v4_bias_rec_best,lr,0.5285888,0.01133278453690884,0.526721,0.010222760566500616,5
hESC,mHSC-E,native,v4_bias_rec_best,mlp,0.520637,0.01719161275738843,0.5252286,0.011759353665912093,5
hESC,mHSC-E,native,v4_plain_best,lr,0.616767,0.017994799548758513,0.6155712,0.016654715433173883,5
hESC,mHSC-E,native,v4_plain_best,mlp,0.6038198,0.020829939830926035,0.5984554,0.020088530723773694,5
hESC,mHSC-E,native,v4_type_pe_best,lr,0.591592,0.023290788488155547,0.5869718,0.02156641502336447,5
hESC,mHSC-E,native,v4_type_pe_best,mlp,0.6013746,0.0076609117368626285,0.5925952,0.010123359825670544,5
hESC,mHSC-E,strict,baseline,lr,0.5106088,0.010105685674905988,0.5907124,0.016384892304803233,5
hESC,mHSC-E,strict,baseline,mlp,0.47856940000000003,0.02418829604250783,0.541662,0.01884938640911156,5
hESC,mHSC-E,strict,minus,lr,0.5581446,0.026391109810691937,0.5780308,0.018376370886548844,5
hESC,mHSC-E,strict,minus,mlp,0.4898856,0.04573593294817543,0.5262974,0.02652834361659241,5
hESC,mHSC-E,strict,scGPT_human,lr,0.5272894,0.019848824182807385,0.5851988,0.015415345476504897,5
hESC,mHSC-E,strict,scGPT_human,mlp,0.4619272,0.03151984410113732,0.5204098,0.028885593138448785,5
hESC,mHSC-E,strict,v4_bias_rec_best,lr,0.5449676,0.021446799682936356,0.5768276,0.010044012317794126,5
hESC,mHSC-E,strict,v4_bias_rec_best,mlp,0.531189,0.032170291468993584,0.566608,0.025009684812088293,5
hESC,mHSC-E,strict,v4_plain_best,lr,0.5202848,0.020342731236488377,0.5770082,0.023834942361163774,5
hESC,mHSC-E,strict,v4_plain_best,mlp,0.455027,0.026391798673072658,0.5098448,0.023058743603240832,5
hESC,mHSC-E,strict,v4_type_pe_best,lr,0.4880034,0.01606917940157491,0.5387404,0.018756900635232884,5
hESC,mHSC-E,strict,v4_type_pe_best,mlp,0.4729936,0.02123917571470231,0.5154272,0.008583959585179787,5
hESC,mHSC-GM,coverage_matched,baseline,lr,0.8125332,0.005073628500392985,0.7490376,0.009721897296310024,5
hESC,mHSC-GM,coverage_matched,baseline,mlp,0.7896118,0.01998675921103772,0.7344432,0.02566954168192336,5
hESC,mHSC-GM,coverage_matched,minus,lr,0.7945512,0.016942150080789635,0.7869072,0.015644652292716547,5
hESC,mHSC-GM,coverage_matched,minus,mlp,0.7645738,0.03504415928168344,0.7500224,0.0465219110209372,5
hESC,mHSC-GM,coverage_matched,scGPT_human,lr,0.639706,0.028419110063476676,0.6151692,0.025530546945962587,5
hESC,mHSC-GM,coverage_matched,scGPT_human,mlp,0.6434724,0.020755160299067793,0.6191078,0.03094985960808223,5
hESC,mHSC-GM,coverage_matched,v4_bias_rec_best,lr,0.7736926,0.005745222000932625,0.7745064,0.007663562190000165,5
hESC,mHSC-GM,coverage_matched,v4_bias_rec_best,mlp,0.7171748,0.04302258518685273,0.7185122,0.037320045409404305,5
hESC,mHSC-GM,coverage_matched,v4_plain_best,lr,0.7466566,0.0325474300159014,0.7052668,0.051423129867404986,5
hESC,mHSC-GM,coverage_matched,v4_plain_best,mlp,0.639408,0.05599043985538958,0.6095204,0.04800596729824323,5
hESC,mHSC-GM,coverage_matched,v4_type_pe_best,lr,0.772487,0.009807774609971445,0.7567262,0.004546126280692193,5
hESC,mHSC-GM,coverage_matched,v4_type_pe_best,mlp,0.742296,0.028241731058842704,0.7346802,0.03103128348876338,5
hESC,mHSC-GM,native,baseline,lr,0.6938194,0.010724736352936595,0.6899526,0.009027681886287334,5
hESC,mHSC-GM,native,baseline,mlp,0.736017,0.008970845244457158,0.7147998,0.00928863049970232,5
hESC,mHSC-GM,native,minus,lr,0.7349441999999999,0.009387424809818686,0.730898,0.008303294526873048,5
hESC,mHSC-GM,native,minus,mlp,0.7557581999999999,0.005987840525598541,0.7351712,0.009991560867051776,5
hESC,mHSC-GM,native,scGPT_human,lr,0.731143,0.009505704645106548,0.7081494,0.011502298459003746,5
