train_dataset,test_dataset,direction,protocol,side,n_genes,canonical_over_raw_ratio,mean_degree,median_degree,mean_train_node_freq,median_train_node_freq,mean_test_node_freq,median_test_node_freq,tf_proxy_fraction,pos_edge_ratio,hub_fraction
hESC,hHep,hESC->hHep,native,train,13976,1.0,0.9341728677733258,0.0,0.7471379507727532,0.0,0.1870349170005724,0.0,0.017744705208929592,0.006568360338248367,1.0
hESC,hHep,hESC->hHep,native,test,11515,1.0,1.1338254450716456,0.0,0.9068171949630917,0.0,0.22700825010855405,0.0,0.021363438992618323,0.008901999560100328,1.0
hESC,hHep,hESC->hHep,strict,train,8314,1.0,1.2124127976906423,0.0,0.9714938657685831,0.0,0.24091893192205918,0.0,0.023574693288429156,0.007007170029435297,1.0
hESC,hHep,hESC->hHep,strict,test,8314,1.0,1.1807794082270868,0.0,0.9450324753427953,0.0,0.23574693288429155,0.0,0.022853019004089488,0.009112995552859767,1.0
hESC,hHep,hESC->hHep,coverage_matched,train,8314,1.0,1.2124127976906423,0.0,0.9714938657685831,0.0,0.24091893192205918,0.0,0.023574693288429156,0.007007170029435297,1.0
hESC,hHep,hESC->hHep,coverage_matched,test,8314,1.0,1.1807794082270868,0.0,0.9450324753427953,0.0,0.23574693288429155,0.0,0.022853019004089488,0.009112995552859767,1.0
hESC,hHep,hESC->hHep,topology_matched,train,8314,1.0,1.2124127976906423,0.0,0.9714938657685831,0.0,0.24091893192205918,0.0,0.023574693288429156,0.007007170029435297,1.0
hESC,hHep,hESC->hHep,topology_matched,test,8314,1.0,1.1807794082270868,0.0,0.9450324753427953,0.0,0.23574693288429155,0.0,0.022853019004089488,0.009112995552859767,1.0
hESC,mDC,hESC->mDC,native,train,13976,1.0,0.9341728677733258,0.0,0.7471379507727532,0.0,0.1870349170005724,0.0,0.017744705208929592,0.006568360338248367,1.0
hESC,mDC,hESC->mDC,native,test,7371,1.0,1.7712657712657713,0.0,1.4166327499660833,0.0,0.354633021299688,0.0,0.0328313661646995,0.014727904251028783,1.0
hESC,mDC,hESC->mDC,strict,train,4819,1.0,0.7323096078024487,0.0,0.5872587673791243,0.0,0.14505084042332433,0.0,0.01597841875907865,0.003626071605719402,1.0
hESC,mDC,hESC->mDC,strict,test,4819,1.0,1.9533098153143806,0.0,1.5582070969080721,0.0,0.39510271840630834,0.0,0.03506951649719859,0.017760576803637934,1.0
hESC,mDC,hESC->mDC,coverage_matched,train,4819,1.0,0.7323096078024487,0.0,0.5872587673791243,0.0,0.14505084042332433,0.0,0.01597841875907865,0.003626071605719402,1.0
hESC,mDC,hESC->mDC,coverage_matched,test,4819,1.0,1.9533098153143806,0.0,1.5582070969080721,0.0,0.39510271840630834,0.0,0.03506951649719859,0.017760576803637934,1.0
hESC,mDC,hESC->mDC,topology_matched,train,4819,1.0,0.7323096078024487,0.0,0.5872587673791243,0.0,0.14505084042332433,0.0,0.01597841875907865,0.003626071605719402,1.0
