dataset,embedding,clf,coverage,auroc,auprc
hESC_Non-Specific_1000,baseline,lr,893/1000,0.8677818292519183,0.143825430053816
hESC_Non-Specific_1000,baseline,mlp,893/1000,0.8956502719121465,0.18074334510259848
hESC_Non-Specific_1000,scGPT_human,lr,893/1000,0.8255690849904123,0.11826463633255609
hESC_Non-Specific_1000,scGPT_human,mlp,893/1000,0.8790069838944107,0.13994302001062403
hESC_Non-Specific_1000,v4_bias_rec_best,lr,893/1000,0.8562915378365954,0.1406902504801424
hESC_Non-Specific_1000,v4_bias_rec_best,mlp,893/1000,0.8839409410158853,0.1593421935306566
hESC_Non-Specific_1000,v4_plain_best,lr,893/1000,0.8832940320404021,0.16477309436450818
hESC_Non-Specific_1000,v4_plain_best,mlp,893/1000,0.9049984314545644,0.16298910106529968
hESC_Non-Specific_1000,v4_type_pe_best,lr,893/1000,0.8831708996768239,0.18203884576516627
hESC_Non-Specific_1000,v4_type_pe_best,mlp,893/1000,0.9027542049083406,0.16375503192710666
hESC_STRING_500,minus,lr,442/500,0.8300496175315278,0.28053121081067106
hESC_STRING_500,minus,mlp,442/500,0.8033388463923921,0.208395551078033
hESC_STRING_500,baseline,lr,442/500,0.8114637171800704,0.2918560438816928
hESC_STRING_500,baseline,mlp,442/500,0.7653866032664876,0.09282483306745186
hESC_STRING_500,scGPT_human,lr,442/500,0.873351250775274,0.2924396683984585
hESC_STRING_500,scGPT_human,mlp,442/500,0.793989042795121,0.07228263024412128
hESC_STRING_500,v4_bias_rec_best,lr,442/500,0.8155985114740542,0.23262342983880385
hESC_STRING_500,v4_bias_rec_best,mlp,442/500,0.8096599131693198,0.09819540339567354
hESC_STRING_500,v4_plain_best,lr,442/500,0.8126214595823857,0.2512740412354874
hESC_STRING_500,v4_plain_best,mlp,442/500,0.8039435600578871,0.051848445890240805
hESC_STRING_500,v4_type_pe_best,lr,442/500,0.8492867479842876,0.2977692398773901
hESC_STRING_500,v4_type_pe_best,mlp,442/500,0.8508528013231341,0.28189169719476326
hESC_STRING_1000,minus,lr,893/1000,0.8241729505537961,0.2252377299482081
hESC_STRING_1000,minus,mlp,893/1000,0.8249504638960464,0.23283594984199152
hESC_STRING_1000,baseline,lr,893/1000,0.8370086024562132,0.21097890656922025
hESC_STRING_1000,baseline,mlp,893/1000,0.8246355102492052,0.23432442774085394
hESC_STRING_1000,scGPT_human,lr,893/1000,0.8379182323234164,0.16762728223772627
hESC_STRING_1000,scGPT_human,mlp,893/1000,0.8556151649117947,0.22032512192332387
hESC_STRING_1000,v4_bias_rec_best,lr,893/1000,0.8363501458444949,0.19465264679400282
hESC_STRING_1000,v4_bias_rec_best,mlp,893/1000,0.8482032760038729,0.23668066456527814
hESC_STRING_1000,v4_plain_best,lr,893/1000,0.7966176954747508,0.21825854338098924
hESC_STRING_1000,v4_plain_best,mlp,893/1000,0.8000129383079608,0.26384430216044275
hESC_STRING_1000,v4_type_pe_best,lr,893/1000,0.8443679484703033,0.2105037494689579
hESC_STRING_1000,v4_type_pe_best,mlp,893/1000,0.8240238259244815,0.26260792109527725
hHep_Specific_1000,minus,lr,962/1000,0.8779930225553846,0.7286421179232684
hHep_Specific_1000,minus,mlp,962/1000,0.8991930760993241,0.7854935786482431
hHep_Specific_1000,baseline,lr,962/1000,0.8833348671441001,0.7320989663872451
hHep_Specific_1000,baseline,mlp,962/1000,0.9073606184325013,0.7895724905928163
hHep_Specific_1000,scGPT_human,lr,962/1000,0.8496544742654439,0.6707222290821723
hHep_Specific_1000,scGPT_human,mlp,962/1000,0.9091656348303327,0.7847776670044586
hHep_Specific_1000,v4_bias_rec_best,lr,962/1000,0.8792500501974434,0.7214497788295816
hHep_Specific_1000,v4_bias_rec_best,mlp,962/1000,0.9067310588314035,0.7888286397172067
hHep_Specific_1000,v4_plain_best,lr,962/1000,0.8869950973830399,0.768461261912346
hHep_Specific_1000,v4_plain_best,mlp,962/1000,0.9042922997122014,0.789665208219153
hHep_Specific_1000,v4_type_pe_best,lr,962/1000,0.8867922160497959,0.7542154438798436
hHep_Specific_1000,v4_type_pe_best,mlp,962/1000,0.907718275215849,0.8027011040654642
hHep_Non-Specific_500,minus,lr,487/500,0.8200517028211757,0.13512742629521746
hHep_Non-Specific_500,minus,mlp,487/500,0.8537709340227042,0.10418371826964574
hHep_Non-Specific_500,baseline,lr,487/500,0.7581769135663707,0.08355806721785893
hHep_Non-Specific_500,baseline,mlp,487/500,0.7279420029223334,0.06429495022226357
hHep_Non-Specific_500,scGPT_human,lr,487/500,0.7998763628189277,0.11003394192211327
hHep_Non-Specific_500,scGPT_human,mlp,487/500,0.8078940466824022,0.14321825409559502
hHep_Non-Specific_500,v4_bias_rec_best,lr,487/500,0.827469933685512,0.15673424631742408
hHep_Non-Specific_500,v4_bias_rec_best,mlp,487/500,0.7901914503015998,0.11984835363567553
hHep_Non-Specific_500,v4_plain_best,lr,487/500,0.797347420478813,0.12190549603928344
hHep_Non-Specific_500,v4_plain_best,mlp,487/500,0.7701097748304673,0.07091188746649825
hHep_Non-Specific_500,v4_type_pe_best,lr,487/500,0.8231800981604286,0.15767080646818923
