dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
mESC500->mHSC-L500,v4_type_pe_best,transfer,mESC500,mHSC-L500,lr,937/1120->442/500,0.4111532980557466,0.5760110891988054
mESC500->mHSC-L500,v4_type_pe_best,transfer,mESC500,mHSC-L500,mlp,937/1120->442/500,0.45801070286107215,0.6094383156726901
mHSC-E500->hESC500,minus,transfer,mHSC-E500,hESC500,lr,457/500->848/910,0.5260081423559205,0.16402115821310695
mHSC-E500->hESC500,minus,transfer,mHSC-E500,hESC500,mlp,457/500->848/910,0.4811413340574565,0.13837472974402384
mHSC-E500->hESC500,baseline,transfer,mHSC-E500,hESC500,lr,457/500->848/910,0.5195644225512912,0.16103157417467584
mHSC-E500->hESC500,baseline,transfer,mHSC-E500,hESC500,mlp,457/500->848/910,0.5329935596125259,0.16390065494729186
mHSC-E500->hESC500,scGPT_human,transfer,mHSC-E500,hESC500,lr,457/500->848/910,0.5150158688679887,0.161218276806589
mHSC-E500->hESC500,scGPT_human,transfer,mHSC-E500,hESC500,mlp,457/500->848/910,0.5448125610572074,0.18166832043385603
mHSC-E500->hESC500,v4_bias_rec_best,transfer,mHSC-E500,hESC500,lr,457/500->848/910,0.5140546077529228,0.1551526468413485
mHSC-E500->hESC500,v4_bias_rec_best,transfer,mHSC-E500,hESC500,mlp,457/500->848/910,0.5501803255795427,0.17746013564493252
mHSC-E500->hESC500,v4_plain_best,transfer,mHSC-E500,hESC500,lr,457/500->848/910,0.5014391018144772,0.14896055137136932
mHSC-E500->hESC500,v4_plain_best,transfer,mHSC-E500,hESC500,mlp,457/500->848/910,0.49174488731375565,0.1452371157758794
mHSC-E500->hESC500,v4_type_pe_best,transfer,mHSC-E500,hESC500,lr,457/500->848/910,0.49883174691151083,0.15247323061760926
mHSC-E500->hESC500,v4_type_pe_best,transfer,mHSC-E500,hESC500,mlp,457/500->848/910,0.5332844798177788,0.16408060336425184
mHSC-E500->hHep500,minus,transfer,mHSC-E500,hHep500,lr,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,minus,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,baseline,transfer,mHSC-E500,hHep500,lr,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,baseline,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,scGPT_human,transfer,mHSC-E500,hHep500,lr,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,scGPT_human,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,v4_bias_rec_best,transfer,mHSC-E500,hHep500,lr,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,v4_bias_rec_best,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,v4_plain_best,transfer,mHSC-E500,hHep500,lr,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,v4_plain_best,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,v4_type_pe_best,transfer,mHSC-E500,hHep500,lr,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,v4_type_pe_best,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,1.0,1.0
mHSC-E500->mESC500,minus,transfer,mHSC-E500,mESC500,lr,457/500->937/1120,0.5156395523021257,0.3310334049420786
mHSC-E500->mESC500,minus,transfer,mHSC-E500,mESC500,mlp,457/500->937/1120,0.5169812418305002,0.3123994567348731
mHSC-E500->mESC500,baseline,transfer,mHSC-E500,mESC500,lr,457/500->937/1120,0.499091330025363,0.3136468758701967
mHSC-E500->mESC500,baseline,transfer,mHSC-E500,mESC500,mlp,457/500->937/1120,0.5450692507914248,0.32797775694322184
mHSC-E500->mESC500,scGPT_human,transfer,mHSC-E500,mESC500,lr,457/500->937/1120,0.5194239615807925,0.32100588818313
mHSC-E500->mESC500,scGPT_human,transfer,mHSC-E500,mESC500,mlp,457/500->937/1120,0.5151812555517506,0.31410974386992546
mHSC-E500->mESC500,v4_bias_rec_best,transfer,mHSC-E500,mESC500,lr,457/500->937/1120,0.5211981975480118,0.3243280987631678
mHSC-E500->mESC500,v4_bias_rec_best,transfer,mHSC-E500,mESC500,mlp,457/500->937/1120,0.4998037354065185,0.2981653663093504
mHSC-E500->mESC500,v4_plain_best,transfer,mHSC-E500,mESC500,lr,457/500->937/1120,0.5049614686044815,0.3099399087191427
mHSC-E500->mESC500,v4_plain_best,transfer,mHSC-E500,mESC500,mlp,457/500->937/1120,0.5072988445009332,0.30477171617236254
mHSC-E500->mESC500,v4_type_pe_best,transfer,mHSC-E500,mESC500,lr,457/500->937/1120,0.5026530170233536,0.3190694699031943
mHSC-E500->mESC500,v4_type_pe_best,transfer,mHSC-E500,mESC500,mlp,457/500->937/1120,0.5314166891710119,0.3282440858879681
mHSC-E500->mHSC-GM500,minus,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.6229022082018927,0.6945705283427406
mHSC-E500->mHSC-GM500,minus,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.644621451104101,0.748056449353006
mHSC-E500->mHSC-GM500,baseline,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.6585173501577286,0.7515946467552193
mHSC-E500->mHSC-GM500,baseline,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.701577287066246,0.8068659691316299
mHSC-E500->mHSC-GM500,scGPT_human,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.6386119873817034,0.7272889568720742
mHSC-E500->mHSC-GM500,scGPT_human,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6940141955835962,0.795694241497249
mHSC-E500->mHSC-GM500,v4_bias_rec_best,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.5645583596214512,0.6543191965415902
mHSC-E500->mHSC-GM500,v4_bias_rec_best,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6564037854889591,0.7837788821144772
mHSC-E500->mHSC-GM500,v4_plain_best,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.6379179810725553,0.7149778677791039
mHSC-E500->mHSC-GM500,v4_plain_best,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6362854889589906,0.7618668089946781
mHSC-E500->mHSC-GM500,v4_type_pe_best,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.6152681388012619,0.6997626307446985
mHSC-E500->mHSC-GM500,v4_type_pe_best,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6909858044164038,0.7897758844544467
mHSC-E500->mHSC-L500,minus,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.5924043568816207,0.6720691482018775
mHSC-E500->mHSC-L500,minus,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6270541221959799,0.7386433235921627
mHSC-E500->mHSC-L500,baseline,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.578422872631967,0.6557697680448804
mHSC-E500->mHSC-L500,baseline,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6813855919957746,0.7790911416536538
mHSC-E500->mHSC-L500,scGPT_human,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.6535023468564082,0.7380148824969561
mHSC-E500->mHSC-L500,scGPT_human,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6884261612205647,0.7841891616498199
mHSC-E500->mHSC-L500,v4_bias_rec_best,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.5671320517803223,0.6604185493925088
mHSC-E500->mHSC-L500,v4_bias_rec_best,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.647652645320737,0.7613327430477346
mHSC-E500->mHSC-L500,v4_plain_best,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.6103819745483173,0.682918778776359
mHSC-E500->mHSC-L500,v4_plain_best,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6490527868297009,0.7670045666495758
mHSC-E500->mHSC-L500,v4_type_pe_best,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.6078009307702272,0.6763541410307716
mHSC-E500->mHSC-L500,v4_type_pe_best,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6867968150517703,0.7853437709074179
mHSC-GM500->hESC500,minus,transfer,mHSC-GM500,hESC500,lr,449/500->848/910,0.5224857139890151,0.16377698725276024
mHSC-GM500->hESC500,minus,transfer,mHSC-GM500,hESC500,mlp,449/500->848/910,0.4679088044977473,0.13889424013623372
mHSC-GM500->hESC500,baseline,transfer,mHSC-GM500,hESC500,lr,449/500->848/910,0.5164901538932237,0.15428915528326034
mHSC-GM500->hESC500,baseline,transfer,mHSC-GM500,hESC500,mlp,449/500->848/910,0.5606364813317419,0.1769422240333698
mHSC-GM500->hESC500,scGPT_human,transfer,mHSC-GM500,hESC500,lr,449/500->848/910,0.5107987658287638,0.1597395648164773
mHSC-GM500->hESC500,scGPT_human,transfer,mHSC-GM500,hESC500,mlp,449/500->848/910,0.5533468920438052,0.17018252638475245
mHSC-GM500->hESC500,v4_bias_rec_best,transfer,mHSC-GM500,hESC500,lr,449/500->848/910,0.5466726989598945,0.17548671543321062
mHSC-GM500->hESC500,v4_bias_rec_best,transfer,mHSC-GM500,hESC500,mlp,449/500->848/910,0.545451206078915,0.17965301412144782
mHSC-GM500->hESC500,v4_plain_best,transfer,mHSC-GM500,hESC500,lr,449/500->848/910,0.4988213624396131,0.14749873395206636
mHSC-GM500->hESC500,v4_plain_best,transfer,mHSC-GM500,hESC500,mlp,449/500->848/910,0.5327833128046273,0.15326520285981013
mHSC-GM500->hESC500,v4_type_pe_best,transfer,mHSC-GM500,hESC500,lr,449/500->848/910,0.5258656271035336,0.16374065024534024
mHSC-GM500->hESC500,v4_type_pe_best,transfer,mHSC-GM500,hESC500,mlp,449/500->848/910,0.6057787881197302,0.21118603057293725
mHSC-GM500->hHep500,minus,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,0.0,0.5
mHSC-GM500->hHep500,minus,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,0.0,0.5
mHSC-GM500->hHep500,baseline,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,baseline,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,scGPT_human,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,scGPT_human,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,v4_bias_rec_best,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,v4_bias_rec_best,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,v4_plain_best,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,v4_plain_best,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,v4_type_pe_best,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,0.0,0.5
mHSC-GM500->hHep500,v4_type_pe_best,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,1.0,1.0
mHSC-GM500->mESC500,minus,transfer,mHSC-GM500,mESC500,lr,449/500->937/1120,0.5004833810263768,0.312771184533481
mHSC-GM500->mESC500,minus,transfer,mHSC-GM500,mESC500,mlp,449/500->937/1120,0.5044775455629852,0.3044513511991604
mHSC-GM500->mESC500,baseline,transfer,mHSC-GM500,mESC500,lr,449/500->937/1120,0.5223331909885264,0.33109472770133475
mHSC-GM500->mESC500,baseline,transfer,mHSC-GM500,mESC500,mlp,449/500->937/1120,0.5453999489146156,0.3236707307500961
mHSC-GM500->mESC500,scGPT_human,transfer,mHSC-GM500,mESC500,lr,449/500->937/1120,0.5101046776345785,0.3214398386990804
mHSC-GM500->mESC500,scGPT_human,transfer,mHSC-GM500,mESC500,mlp,449/500->937/1120,0.5165224903386264,0.3189413879041102
mHSC-GM500->mESC500,v4_bias_rec_best,transfer,mHSC-GM500,mESC500,lr,449/500->937/1120,0.5126544958978275,0.3207356563815942
mHSC-GM500->mESC500,v4_bias_rec_best,transfer,mHSC-GM500,mESC500,mlp,449/500->937/1120,0.5297556562768676,0.32258706740298787
mHSC-GM500->mESC500,v4_plain_best,transfer,mHSC-GM500,mESC500,lr,449/500->937/1120,0.5209105436933453,0.3295671616885629
mHSC-GM500->mESC500,v4_plain_best,transfer,mHSC-GM500,mESC500,mlp,449/500->937/1120,0.504150751785995,0.30327222928259245
mHSC-GM500->mESC500,v4_type_pe_best,transfer,mHSC-GM500,mESC500,lr,449/500->937/1120,0.5190119336295689,0.3296942700889611
mHSC-GM500->mESC500,v4_type_pe_best,transfer,mHSC-GM500,mESC500,mlp,449/500->937/1120,0.5281426927744755,0.32120831379559434
mHSC-GM500->mHSC-E500,minus,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6893526920750151,0.7805367284327795
mHSC-GM500->mHSC-E500,minus,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7372958257713248,0.8259342575849895
mHSC-GM500->mHSC-E500,baseline,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6738829833203699,0.7692928478975736
mHSC-GM500->mHSC-E500,baseline,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7494598565378965,0.830992149767907
mHSC-GM500->mHSC-E500,scGPT_human,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.616433324691038,0.7135599658425704
mHSC-GM500->mHSC-E500,scGPT_human,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7367124708322531,0.8286533442646157
mHSC-GM500->mHSC-E500,v4_bias_rec_best,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6553452597009766,0.7534134655716833
mHSC-GM500->mHSC-E500,v4_bias_rec_best,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7616454930429523,0.843025530627842
mHSC-GM500->mHSC-E500,v4_plain_best,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6639443436176649,0.7382462032050393
mHSC-GM500->mHSC-E500,v4_plain_best,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7081712902947023,0.7964738636374704
mHSC-GM500->mHSC-E500,v4_type_pe_best,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.5951084608071904,0.6775482478010972
mHSC-GM500->mHSC-E500,v4_type_pe_best,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7258879958516982,0.8323627678155342
mHSC-GM500->mHSC-L500,minus,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7135240714719921,0.7837098314040756
mHSC-GM500->mHSC-L500,minus,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.8187638893041147,0.8742416723906743
mHSC-GM500->mHSC-L500,baseline,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7362751253151565,0.7868776627049703
mHSC-GM500->mHSC-L500,baseline,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.7749409548865436,0.8398288892045374
mHSC-GM500->mHSC-L500,scGPT_human,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7533658206025092,0.7893869957483062
mHSC-GM500->mHSC-L500,scGPT_human,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.824010682930232,0.8681837298561048
mHSC-GM500->mHSC-L500,v4_bias_rec_best,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.698755319042921,0.7628818594249085
mHSC-GM500->mHSC-L500,v4_bias_rec_best,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.8060330652635355,0.8633757956716201
mHSC-GM500->mHSC-L500,v4_plain_best,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7469779863872363,0.8024112585290999
mHSC-GM500->mHSC-L500,v4_plain_best,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.8033772808355009,0.8631703657623133
mHSC-GM500->mHSC-L500,v4_type_pe_best,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7294787088801857,0.7887570978097109
mHSC-GM500->mHSC-L500,v4_type_pe_best,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.7941293710823444,0.8639616494175194
mHSC-L500->hESC500,minus,transfer,mHSC-L500,hESC500,lr,442/500->848/910,0.5303514089790964,0.167391568286737
mHSC-L500->hESC500,minus,transfer,mHSC-L500,hESC500,mlp,442/500->848/910,0.524322293089785,0.16094574265317751
mHSC-L500->hESC500,baseline,transfer,mHSC-L500,hESC500,lr,442/500->848/910,0.5319541824700504,0.16741410926046738
mHSC-L500->hESC500,baseline,transfer,mHSC-L500,hESC500,mlp,442/500->848/910,0.5719050282697873,0.1812713554133545
mHSC-L500->hESC500,scGPT_human,transfer,mHSC-L500,hESC500,lr,442/500->848/910,0.5213728705826666,0.1619713672429842
mHSC-L500->hESC500,scGPT_human,transfer,mHSC-L500,hESC500,mlp,442/500->848/910,0.5292791735076312,0.1621968041007869
mHSC-L500->hESC500,v4_bias_rec_best,transfer,mHSC-L500,hESC500,lr,442/500->848/910,0.5408349208401007,0.1621418830922468
mHSC-L500->hESC500,v4_bias_rec_best,transfer,mHSC-L500,hESC500,mlp,442/500->848/910,0.526417011562877,0.16293749105683014
mHSC-L500->hESC500,v4_plain_best,transfer,mHSC-L500,hESC500,lr,442/500->848/910,0.5098019340226453,0.15760424445984134
mHSC-L500->hESC500,v4_plain_best,transfer,mHSC-L500,hESC500,mlp,442/500->848/910,0.5415760156517241,0.1672865114342504
mHSC-L500->hESC500,v4_type_pe_best,transfer,mHSC-L500,hESC500,lr,442/500->848/910,0.5157268177126852,0.1558933466953979
mHSC-L500->hESC500,v4_type_pe_best,transfer,mHSC-L500,hESC500,mlp,442/500->848/910,0.5281826042736597,0.161209381165463
mHSC-L500->hHep500,minus,transfer,mHSC-L500,hHep500,lr,442/500->487/500,0.0,0.5
mHSC-L500->hHep500,minus,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,baseline,transfer,mHSC-L500,hHep500,lr,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,baseline,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,scGPT_human,transfer,mHSC-L500,hHep500,lr,442/500->487/500,0.0,0.5
mHSC-L500->hHep500,scGPT_human,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,0.0,0.5
mHSC-L500->hHep500,v4_bias_rec_best,transfer,mHSC-L500,hHep500,lr,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,v4_bias_rec_best,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,v4_plain_best,transfer,mHSC-L500,hHep500,lr,442/500->487/500,0.0,0.5
mHSC-L500->hHep500,v4_plain_best,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,v4_type_pe_best,transfer,mHSC-L500,hHep500,lr,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,v4_type_pe_best,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->mESC500,minus,transfer,mHSC-L500,mESC500,lr,442/500->937/1120,0.5064574395213098,0.3172361590534457
mHSC-L500->mESC500,minus,transfer,mHSC-L500,mESC500,mlp,442/500->937/1120,0.5293791211292816,0.3299733853800818
mHSC-L500->mESC500,baseline,transfer,mHSC-L500,mESC500,lr,442/500->937/1120,0.5354142068520045,0.3390470026909479
mHSC-L500->mESC500,baseline,transfer,mHSC-L500,mESC500,mlp,442/500->937/1120,0.5497424546258932,0.3354706178837465
mHSC-L500->mESC500,scGPT_human,transfer,mHSC-L500,mESC500,lr,442/500->937/1120,0.5030958387827288,0.31784694860501816
mHSC-L500->mESC500,scGPT_human,transfer,mHSC-L500,mESC500,mlp,442/500->937/1120,0.5094600608901623,0.3129644496416767
mHSC-L500->mESC500,v4_bias_rec_best,transfer,mHSC-L500,mESC500,lr,442/500->937/1120,0.5256339068931205,0.3338756619781518
mHSC-L500->mESC500,v4_bias_rec_best,transfer,mHSC-L500,mESC500,mlp,442/500->937/1120,0.5446922379355978,0.34170672075752934
mHSC-L500->mESC500,v4_plain_best,transfer,mHSC-L500,mESC500,lr,442/500->937/1120,0.5235940789239424,0.3293113362199441
mHSC-L500->mESC500,v4_plain_best,transfer,mHSC-L500,mESC500,mlp,442/500->937/1120,0.5103692912533128,0.31582061073621825
mHSC-L500->mESC500,v4_type_pe_best,transfer,mHSC-L500,mESC500,lr,442/500->937/1120,0.5362194897392496,0.3446988806034961
mHSC-L500->mESC500,v4_type_pe_best,transfer,mHSC-L500,mESC500,mlp,442/500->937/1120,0.5354512384273801,0.3365299283278976
mHSC-L500->mHSC-E500,minus,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6689352692075015,0.7603201773202101
mHSC-L500->mHSC-E500,minus,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7345086855068707,0.818810855557755
mHSC-L500->mHSC-E500,baseline,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6790683605565638,0.7849640563733107
mHSC-L500->mHSC-E500,baseline,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7475369458128078,0.8292231772472313
mHSC-L500->mHSC-E500,scGPT_human,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6312548612911588,0.7273362055526438
mHSC-L500->mHSC-E500,scGPT_human,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7292152795782559,0.8188070726341101
mHSC-L500->mHSC-E500,v4_bias_rec_best,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6565983925330567,0.749541932045254
mHSC-L500->mHSC-E500,v4_bias_rec_best,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.6979949874686716,0.7816434029835269
mHSC-L500->mHSC-E500,v4_plain_best,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6058249070953245,0.697371048886404
mHSC-L500->mHSC-E500,v4_plain_best,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7202705038458215,0.8125084160869827
mHSC-L500->mHSC-E500,v4_type_pe_best,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6044853513093078,0.7087994226455314
mHSC-L500->mHSC-E500,v4_type_pe_best,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7450090744101634,0.8246889480537991
mHSC-L500->mHSC-GM500,minus,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7599684542586752,0.8105922905750796
mHSC-L500->mHSC-GM500,minus,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8460488958990536,0.8753077177747993
mHSC-L500->mHSC-GM500,baseline,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7654889589905363,0.8149617648619923
mHSC-L500->mHSC-GM500,baseline,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8697791798107255,0.9041493492188885
mHSC-L500->mHSC-GM500,scGPT_human,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.8211908517350157,0.8514976172332641
mHSC-L500->mHSC-GM500,scGPT_human,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8955205047318612,0.9303181823276065
mHSC-L500->mHSC-GM500,v4_bias_rec_best,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7617981072555204,0.8105043829376615
mHSC-L500->mHSC-GM500,v4_bias_rec_best,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8821924290220821,0.9154247886412867
mHSC-L500->mHSC-GM500,v4_plain_best,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7667350157728706,0.8013652241055582
mHSC-L500->mHSC-GM500,v4_plain_best,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8862381703470033,0.9086346299961883
mHSC-L500->mHSC-GM500,v4_type_pe_best,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.779652996845426,0.8150495432527193
mHSC-L500->mHSC-GM500,v4_type_pe_best,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8576656151419558,0.8948346834899277
