dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
mHSC-GM500,v4_plain_best,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.7279337539432177,0.7833076127818478
mHSC-GM500,v4_plain_best,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7271372239747633,0.8092781329690952
mHSC-GM500,v4_type_pe_best,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.7420189274447949,0.7995586455950536
mHSC-GM500,v4_type_pe_best,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7510252365930601,0.8219577532849835
mHSC-GM500,random_256,in_domain,mHSC-GM500,mHSC-GM500,lr,500/500,0.6789589905362776,0.7618802149005124
mHSC-GM500,random_256,in_domain,mHSC-GM500,mHSC-GM500,mlp,500/500,0.6515930599369086,0.7622152676485516
mHSC-L500,minus,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7487219348859457,0.8116306256448822
mHSC-L500,minus,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.771552712089051,0.8420117409562136
mHSC-L500,baseline,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7396932643726268,0.8071939316951311
mHSC-L500,baseline,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7434302968698616,0.820032183120109
mHSC-L500,scGPT_human,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7335744964971549,0.8090593428492405
mHSC-L500,scGPT_human,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7698187290103341,0.8285806816112757
mHSC-L500,v4_bias_rec_best,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7289007145206134,0.7922217358833623
mHSC-L500,v4_bias_rec_best,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7529921173527858,0.8150385599462475
mHSC-L500,v4_plain_best,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7467288508874206,0.8122257755637976
mHSC-L500,v4_plain_best,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7792509990333543,0.8456359872251634
mHSC-L500,v4_type_pe_best,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7355476496556949,0.8161538872847063
mHSC-L500,v4_type_pe_best,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7660916619330921,0.8410128306617501
mHSC-L500,random_256,in_domain,mHSC-L500,mHSC-L500,lr,500/500,0.6978385004035995,0.7965498280618197
mHSC-L500,random_256,in_domain,mHSC-L500,mHSC-L500,mlp,500/500,0.711530987473467,0.8030524894710461
hESC500->hHep500,minus,transfer,hESC500,hHep500,lr,848/910->487/500,1.0,1.0
hESC500->hHep500,minus,transfer,hESC500,hHep500,mlp,848/910->487/500,1.0,1.0
hESC500->hHep500,baseline,transfer,hESC500,hHep500,lr,848/910->487/500,0.0,0.5
hESC500->hHep500,baseline,transfer,hESC500,hHep500,mlp,848/910->487/500,0.0,0.5
hESC500->hHep500,scGPT_human,transfer,hESC500,hHep500,lr,848/910->487/500,0.0,0.5
hESC500->hHep500,scGPT_human,transfer,hESC500,hHep500,mlp,848/910->487/500,1.0,1.0
hESC500->hHep500,v4_bias_rec_best,transfer,hESC500,hHep500,lr,848/910->487/500,0.0,0.5
hESC500->hHep500,v4_bias_rec_best,transfer,hESC500,hHep500,mlp,848/910->487/500,0.0,0.5
hESC500->hHep500,v4_plain_best,transfer,hESC500,hHep500,lr,848/910->487/500,0.0,0.5
hESC500->hHep500,v4_plain_best,transfer,hESC500,hHep500,mlp,848/910->487/500,0.0,0.5
hESC500->hHep500,v4_type_pe_best,transfer,hESC500,hHep500,lr,848/910->487/500,1.0,1.0
hESC500->hHep500,v4_type_pe_best,transfer,hESC500,hHep500,mlp,848/910->487/500,1.0,1.0
hESC500->mESC500,minus,transfer,hESC500,mESC500,lr,848/910->937/1120,0.6148097942168861,0.3970685436048035
hESC500->mESC500,minus,transfer,hESC500,mESC500,mlp,848/910->937/1120,0.5716277482049837,0.3637205102813119
